Time,Station,Saved
2014/05/02 20:00:00,001004,11.34
2014/05/02 22:00:00,001004,8.70
2014/05/03 01:00:00,001004,33.32
2014/05/03 04:00:00,001004,23.65
2014/05/05 08:00:00,001004,21.70
2014/05/05 09:00:00,001004,21.70
2014/05/05 11:00:00,001004,16.42
2014/05/04 19:00:00,001004,14.67
2014/05/05 04:00:00,001004,24.34
2014/05/05 05:00:00,001004,23.90
2014/05/05 09:00:00,001004,17.30
2014/05/05 08:00:00,001004,17.30
2014/05/05 11:00:00,001004,14.67
2014/05/04 19:00:00,001004,14.67
2014/05/05 04:00:00,001004,24.34
2014/05/05 05:00:00,001004,23.90
2014/05/05 09:00:00,001004,17.30
2014/05/05 08:00:00,001004,17.30
2014/05/05 11:00:00,001004,14.67
2014/05/12 21:00:00,001004,44.00
2014/05/12 20:00:00,001004,41.36
2014/05/12 18:00:00,001004,20.26
2014/05/12 15:00:00,001004,26.13
2014/05/12 16:00:00,001004,20.86
2014/05/12 17:00:00,001004,22.18
2014/05/04 19:00:00,001004,14.67
2014/05/05 04:00:00,001004,24.34
2014/05/05 05:00:00,001004,23.90
2014/05/05 09:00:00,001004,17.30
2014/05/05 08:00:00,001004,17.30
2014/05/05 11:00:00,001004,14.67
2014/05/12 21:00:00,001004,44.00
2014/05/12 20:00:00,001004,41.36
2014/05/12 18:00:00,001004,20.26
2014/05/12 15:00:00,001004,26.13
2014/05/12 16:00:00,001004,20.86
2014/05/12 17:00:00,001004,22.18
2014/05/02 20:00:00,001001,22.64
2014/05/02 22:00:00,001001,25.05
2014/05/03 01:00:00,001001,63.74
2014/05/03 05:00:00,001001,58.90
2014/05/03 04:00:00,001001,54.07
2014/05/03 08:00:00,001001,44.40
2014/05/03 14:00:00,001001,109.67
2014/05/03 15:00:00,001001,107.25
2014/05/03 16:00:00,001001,107.25
2014/05/04 19:00:00,001004,14.67
2014/05/05 04:00:00,001004,24.34
2014/05/05 05:00:00,001004,23.90
2014/05/05 09:00:00,001004,17.30
2014/05/05 08:00:00,001004,17.30
2014/05/05 11:00:00,001004,14.67
2014/05/12 21:00:00,001004,44.00
2014/05/12 20:00:00,001004,41.36
2014/05/12 18:00:00,001004,20.26
2014/05/12 15:00:00,001004,26.13
2014/05/12 16:00:00,001004,20.86
2014/05/12 17:00:00,001004,22.18
2014/05/02 20:00:00,001001,22.64
2014/05/02 22:00:00,001001,25.05
2014/05/03 01:00:00,001001,63.74
2014/05/03 05:00:00,001001,58.90
2014/05/03 04:00:00,001001,54.07
2014/05/03 08:00:00,001001,44.40
2014/05/03 14:00:00,001001,109.67
2014/05/03 15:00:00,001001,107.25
2014/05/03 16:00:00,001001,107.25
2014/05/15 09:00:00,001002,33.77
2014/05/15 08:00:00,001002,27.17
2014/05/15 07:00:00,001002,27.17
2014/05/02 20:00:00,001004,10.87
2014/05/02 22:00:00,001004,8.23
2014/05/03 01:00:00,001004,32.85
2014/05/03 04:00:00,001004,27.57
2014/05/03 05:00:00,001004,24.94
2014/05/03 08:00:00,001004,26.69
2014/05/02 20:00:00,001001,22.64
2014/05/02 22:00:00,001001,25.05
2014/05/03 01:00:00,001001,63.74
2014/05/03 05:00:00,001001,58.90
2014/05/03 04:00:00,001001,54.07
2014/05/03 08:00:00,001001,44.40
2014/05/03 14:00:00,001001,109.67
2014/05/03 15:00:00,001001,107.25
2014/05/03 16:00:00,001001,107.25
2014/05/15 09:00:00,001002,33.77
2014/05/15 08:00:00,001002,27.17
2014/05/15 07:00:00,001002,27.17
2014/05/02 20:00:00,001004,10.87
2014/05/02 22:00:00,001004,8.23
2014/05/03 01:00:00,001004,32.85
2014/05/03 04:00:00,001004,27.57
2014/05/03 05:00:00,001004,24.94
2014/05/03 08:00:00,001004,26.69
2014/05/05 04:00:00,001004,24.34
2014/05/05 05:00:00,001004,23.90
2014/05/05 08:00:00,001004,22.58
2014/05/05 09:00:00,001004,22.14
2014/05/05 11:00:00,001004,16.86
2014/05/04 19:00:00,001004,12.47
2014/05/12 15:00:00,001004,16.88
2014/05/12 16:00:00,001004,19.08
2014/05/12 17:00:00,001004,25.67
2014/05/12 18:00:00,001004,24.58
2014/05/12 20:00:00,001004,43.26
2014/05/12 21:00:00,001004,48.75
2014/05/15 09:00:00,001004,26.85
2014/05/15 08:00:00,001004,26.85
2014/05/15 07:00:00,001004,38.72
2014/05/15 06:00:00,001004,40.04
2014/05/15 05:00:00,001004,37.40
2014/05/15 04:00:00,001004,26.85
2014/05/15 03:00:00,001004,22.90
2014/05/15 02:00:00,001004,25.53
2014/05/15 01:00:00,001004,21.58
2014/05/15 00:00:00,001004,20.26
2014/05/14 23:00:00,001004,17.62
2014/05/14 21:00:00,001004,16.30
2014/05/14 22:00:00,001004,16.30
2014/05/14 20:00:00,001004,14.99
2014/05/14 19:00:00,001004,14.99
2014/05/03 15:00:00,001001,109.67
2014/05/03 14:00:00,001001,104.84
2014/05/03 16:00:00,001001,56.48
2014/05/02 20:00:00,001001,41.98
2014/05/02 22:00:00,001001,25.05
2014/05/03 01:00:00,001001,70.99
2014/05/03 04:00:00,001001,54.07
2014/05/03 05:00:00,001001,56.48
2014/05/03 08:00:00,001001,46.81
2014/05/03 15:00:00,001001,109.67
2014/05/03 14:00:00,001001,104.84
2014/05/03 16:00:00,001001,56.48
2014/05/02 20:00:00,001001,41.98
2014/05/02 22:00:00,001001,25.05
2014/05/03 01:00:00,001001,70.99
2014/05/03 04:00:00,001001,54.07
2014/05/03 05:00:00,001001,56.48
2014/05/03 08:00:00,001001,46.81
2014/05/02 20:00:00,001004,13.59
2014/05/02 22:00:00,001004,10.29
2014/05/03 01:00:00,001004,33.37
2014/05/03 04:00:00,001004,34.47
2014/05/03 05:00:00,001004,33.37
2014/05/03 08:00:00,001004,32.27
2014/05/03 14:00:00,001004,50.95
2014/05/03 15:00:00,001004,45.45
2014/05/03 16:00:00,001004,37.76
2014/05/03 15:00:00,001001,109.67
2014/05/03 14:00:00,001001,104.84
2014/05/03 16:00:00,001001,56.48
2014/05/02 20:00:00,001001,41.98
2014/05/02 22:00:00,001001,25.05
2014/05/03 01:00:00,001001,70.99
2014/05/03 04:00:00,001001,54.07
2014/05/03 05:00:00,001001,56.48
2014/05/03 08:00:00,001001,46.81
2014/05/02 20:00:00,001004,13.59
2014/05/02 22:00:00,001004,10.29
2014/05/03 01:00:00,001004,33.37
2014/05/03 04:00:00,001004,34.47
2014/05/03 05:00:00,001004,33.37
2014/05/03 08:00:00,001004,32.27
2014/05/03 14:00:00,001004,50.95
2014/05/03 15:00:00,001004,45.45
2014/05/03 16:00:00,001004,37.76
2014/05/04 19:00:00,001004,15.10
2014/05/05 04:00:00,001004,23.90
2014/05/05 05:00:00,001004,23.90
2014/05/05 08:00:00,001004,20.82
2014/05/05 09:00:00,001004,20.82
2014/05/05 11:00:00,001004,14.67
2014/05/02 20:00:00,001004,13.59
2014/05/02 22:00:00,001004,10.29
2014/05/03 01:00:00,001004,33.37
2014/05/03 04:00:00,001004,34.47
2014/05/03 05:00:00,001004,33.37
2014/05/03 08:00:00,001004,32.27
2014/05/03 14:00:00,001004,50.95
2014/05/03 15:00:00,001004,45.45
2014/05/03 16:00:00,001004,37.76
2014/05/04 19:00:00,001004,15.10
2014/05/05 04:00:00,001004,23.90
2014/05/05 05:00:00,001004,23.90
2014/05/05 08:00:00,001004,20.82
2014/05/05 09:00:00,001004,20.82
2014/05/05 11:00:00,001004,14.67
2014/05/03 15:00:00,001001,107.25
2014/05/03 14:00:00,001001,104.84
2014/05/03 16:00:00,001001,56.48
2014/05/02 20:00:00,001001,29.89
2014/05/03 01:00:00,001001,70.99
2014/05/02 22:00:00,001001,25.05
2014/05/03 04:00:00,001001,63.74
2014/05/03 05:00:00,001001,66.15
2014/05/03 08:00:00,001001,44.40
2014/05/03 14:00:00,001004,50.95
2014/05/03 15:00:00,001004,45.45
2014/05/03 16:00:00,001004,37.76
2014/05/04 19:00:00,001004,15.10
2014/05/05 04:00:00,001004,23.90
2014/05/05 05:00:00,001004,23.90
2014/05/05 08:00:00,001004,20.82
2014/05/05 09:00:00,001004,20.82
2014/05/05 11:00:00,001004,14.67
2014/05/03 15:00:00,001001,107.25
2014/05/03 14:00:00,001001,104.84
2014/05/03 16:00:00,001001,56.48
2014/05/02 20:00:00,001001,29.89
2014/05/03 01:00:00,001001,70.99
2014/05/02 22:00:00,001001,25.05
2014/05/03 04:00:00,001001,63.74
2014/05/03 05:00:00,001001,66.15
2014/05/03 08:00:00,001001,44.40
2014/05/02 20:00:00,001004,13.51
2014/05/02 22:00:00,001004,11.75
2014/05/03 01:00:00,001004,31.97
2014/05/03 04:00:00,001004,35.48
2014/05/03 05:00:00,001004,31.97
2014/05/03 08:00:00,001004,27.57
2014/05/03 14:00:00,001004,50.95
2014/05/03 15:00:00,001004,45.45
2014/05/03 16:00:00,001004,37.76
2014/05/04 19:00:00,001004,15.10
2014/05/03 15:00:00,001001,107.25
2014/05/03 14:00:00,001001,104.84
2014/05/03 16:00:00,001001,56.48
2014/05/02 20:00:00,001001,29.89
2014/05/03 01:00:00,001001,70.99
2014/05/02 22:00:00,001001,25.05
2014/05/03 04:00:00,001001,63.74
2014/05/03 05:00:00,001001,66.15
2014/05/03 08:00:00,001001,44.40
2014/05/02 20:00:00,001004,13.51
2014/05/02 22:00:00,001004,11.75
2014/05/03 01:00:00,001004,31.97
2014/05/03 04:00:00,001004,35.48
2014/05/03 05:00:00,001004,31.97
2014/05/03 08:00:00,001004,27.57
2014/05/05 04:00:00,001004,26.53
2014/05/05 05:00:00,001004,24.34
2014/05/05 08:00:00,001004,19.06
2014/05/05 09:00:00,001004,19.06
2014/05/05 11:00:00,001004,16.86
2014/05/02 20:00:00,001021,46.38
2014/05/02 20:00:00,001021,44.68
2014/05/02 20:00:00,001021,62.70
2014/05/02 22:00:00,001021,50.79
2014/05/03 01:00:00,001021,64.19
2014/05/02 20:00:00,001021,45.53
2014/05/02 22:00:00,001021,40.43
2014/05/03 01:00:00,001021,31.91
2014/05/03 11:00:00,001002,29.34
2014/05/10 14:00:00,001005,58.19
2014/05/10 15:00:00,001005,59.26
2014/05/10 14:00:00,001005,58.19
2014/05/10 15:00:00,001005,59.26
2014/05/13 21:00:00,001004,32.81
2014/05/13 20:00:00,001004,36.64
2014/05/13 22:00:00,001004,32.81
2014/05/13 23:00:00,001004,30.26
2014/05/14 00:00:00,001004,30.26
2014/05/14 01:00:00,001004,30.26
2014/05/14 02:00:00,001004,30.26
2014/05/10 14:00:00,001005,58.19
2014/05/10 15:00:00,001005,59.26
2014/05/13 21:00:00,001004,32.81
2014/05/13 20:00:00,001004,36.64
2014/05/13 22:00:00,001004,32.81
2014/05/13 23:00:00,001004,30.26
2014/05/14 00:00:00,001004,30.26
2014/05/14 01:00:00,001004,30.26
2014/05/14 02:00:00,001004,30.26
2014/05/16 16:00:00,001003,37.98
2014/05/10 14:00:00,001005,58.19
2014/05/10 15:00:00,001005,59.26
2014/05/13 21:00:00,001004,32.81
2014/05/13 20:00:00,001004,36.64
2014/05/13 22:00:00,001004,32.81
2014/05/13 23:00:00,001004,30.26
2014/05/14 00:00:00,001004,30.26
2014/05/14 01:00:00,001004,30.26
2014/05/14 02:00:00,001004,30.26
2014/05/16 16:00:00,001003,37.98
2014/05/18 12:00:00,001002,62.49
2014/05/18 14:00:00,001002,71.85
2014/05/10 14:00:00,001005,58.19
2014/05/10 15:00:00,001005,59.26
2014/05/13 21:00:00,001004,32.81
2014/05/13 20:00:00,001004,36.64
2014/05/13 22:00:00,001004,32.81
2014/05/13 23:00:00,001004,30.26
2014/05/14 00:00:00,001004,30.26
2014/05/14 01:00:00,001004,30.26
2014/05/14 02:00:00,001004,30.26
2014/05/16 16:00:00,001003,37.98
2014/05/18 12:00:00,001002,62.49
2014/05/18 14:00:00,001002,71.85
2014/05/19 12:00:00,001006,110.49
2014/05/19 14:00:00,001006,146.87
2014/05/19 13:00:00,001006,116.23
2014/05/10 14:00:00,001005,58.19
2014/05/10 15:00:00,001005,59.26
2014/05/13 21:00:00,001004,32.81
2014/05/13 20:00:00,001004,36.64
2014/05/13 22:00:00,001004,32.81
2014/05/13 23:00:00,001004,30.26
2014/05/14 00:00:00,001004,30.26
2014/05/14 01:00:00,001004,30.26
2014/05/14 02:00:00,001004,30.26
2014/05/16 16:00:00,001003,37.98
2014/05/18 12:00:00,001002,62.49
2014/05/18 14:00:00,001002,71.85
2014/05/19 12:00:00,001006,110.49
2014/05/19 14:00:00,001006,146.87
2014/05/19 13:00:00,001006,116.23
2014/05/22 02:00:00,001002,139.79
2014/05/22 01:00:00,001002,135.53
2014/05/22 00:00:00,001002,127.02
2014/05/26 13:00:00,001002,18.96
2014/05/26 14:00:00,001002,10.02
2014/05/26 13:00:00,001002,18.96
2014/05/26 14:00:00,001002,10.02
2014/05/25 15:00:00,001003,14.81
2014/05/30 11:00:00,001004,100.91
2014/05/30 12:00:00,001004,110.49
2014/05/30 14:00:00,001004,131.55
2014/05/30 15:00:00,001004,137.30
2014/05/30 16:00:00,001004,131.55
2014/05/30 19:00:00,001004,118.15
2014/05/30 18:00:00,001004,121.98
2014/05/30 17:00:00,001004,127.72
2014/05/30 20:00:00,001004,110.49
2014/05/30 11:00:00,001004,100.91
2014/05/30 12:00:00,001004,110.49
2014/05/30 14:00:00,001004,131.55
2014/05/30 15:00:00,001004,137.30
2014/05/30 16:00:00,001004,131.55
2014/05/30 19:00:00,001004,118.15
2014/05/30 18:00:00,001004,121.98
2014/05/30 17:00:00,001004,127.72
2014/05/30 20:00:00,001004,110.49
2014/05/30 13:00:00,001005,133.47
2014/05/30 14:00:00,001005,140.74
2014/05/30 11:00:00,001004,100.91
2014/05/30 12:00:00,001004,110.49
2014/05/30 14:00:00,001004,131.55
2014/05/30 15:00:00,001004,137.30
2014/05/30 16:00:00,001004,131.55
2014/05/30 19:00:00,001004,118.15
2014/05/30 18:00:00,001004,121.98
2014/05/30 17:00:00,001004,127.72
2014/05/30 20:00:00,001004,110.49
2014/05/30 13:00:00,001005,133.47
2014/05/30 14:00:00,001005,140.74
2014/05/31 00:00:00,001005,95.17
2014/05/30 23:00:00,001005,95.17
2014/05/30 11:00:00,001004,100.91
2014/05/30 12:00:00,001004,110.49
2014/05/30 14:00:00,001004,131.55
2014/05/30 15:00:00,001004,137.30
2014/05/30 16:00:00,001004,131.55
2014/05/30 19:00:00,001004,118.15
2014/05/30 18:00:00,001004,121.98
2014/05/30 17:00:00,001004,127.72
2014/05/30 20:00:00,001004,110.49
2014/05/30 13:00:00,001005,133.47
2014/05/30 14:00:00,001005,140.74
2014/05/31 00:00:00,001005,95.17
2014/05/30 23:00:00,001005,95.17
2014/06/01 01:00:00,001005,67.45
2014/06/01 02:00:00,001005,65.32
2014/06/01 03:00:00,001005,56.81
2014/06/01 04:00:00,001005,52.55
2014/06/01 05:00:00,001005,50.43
2014/06/01 09:00:00,001005,37.66
2014/06/01 08:00:00,001005,41.91
2014/06/01 11:00:00,001005,37.66
2014/06/01 10:00:00,001005,39.79
2014/06/01 07:00:00,001005,44.04
2014/06/01 06:00:00,001005,46.17
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001005,57.64
2014/06/03 01:00:00,001005,50.19
2014/06/03 03:00:00,001005,42.74
2014/06/03 06:00:00,001005,35.30
2014/06/03 04:00:00,001005,45.72
2014/06/03 05:00:00,001005,44.23
2014/06/03 08:00:00,001005,33.81
2014/06/03 09:00:00,001005,36.79
2014/06/03 07:00:00,001005,36.79
2014/06/03 10:00:00,001005,41.26
2014/06/03 11:00:00,001005,39.77
2014/06/03 12:00:00,001005,36.79
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001005,57.64
2014/06/03 01:00:00,001005,50.19
2014/06/03 03:00:00,001005,42.74
2014/06/03 06:00:00,001005,35.30
2014/06/03 04:00:00,001005,45.72
2014/06/03 05:00:00,001005,44.23
2014/06/03 08:00:00,001005,33.81
2014/06/03 09:00:00,001005,36.79
2014/06/03 07:00:00,001005,36.79
2014/06/03 10:00:00,001005,41.26
2014/06/03 11:00:00,001005,39.77
2014/06/03 12:00:00,001005,36.79
2014/06/04 17:00:00,001004,39.47
2014/06/04 05:00:00,001004,78.49
2014/06/04 06:00:00,001004,78.19
2014/06/04 07:00:00,001004,72.23
2014/06/04 08:00:00,001004,76.70
2014/06/04 09:00:00,001004,76.70
2014/06/04 16:00:00,001004,39.47
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001005,57.64
2014/06/03 01:00:00,001005,50.19
2014/06/03 03:00:00,001005,42.74
2014/06/03 06:00:00,001005,35.30
2014/06/03 04:00:00,001005,45.72
2014/06/03 05:00:00,001005,44.23
2014/06/03 08:00:00,001005,33.81
2014/06/03 09:00:00,001005,36.79
2014/06/03 07:00:00,001005,36.79
2014/06/03 10:00:00,001005,41.26
2014/06/03 11:00:00,001005,39.77
2014/06/03 12:00:00,001005,36.79
2014/06/04 17:00:00,001004,39.47
2014/06/04 05:00:00,001004,78.49
2014/06/04 06:00:00,001004,78.19
2014/06/04 07:00:00,001004,72.23
2014/06/04 08:00:00,001004,76.70
2014/06/04 09:00:00,001004,76.70
2014/06/04 16:00:00,001004,39.47
2014/06/07 15:00:00,001003,11.38
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001005,57.64
2014/06/03 01:00:00,001005,50.19
2014/06/03 03:00:00,001005,42.74
2014/06/03 06:00:00,001005,35.30
2014/06/03 04:00:00,001005,45.72
2014/06/03 05:00:00,001005,44.23
2014/06/03 08:00:00,001005,33.81
2014/06/03 09:00:00,001005,36.79
2014/06/03 07:00:00,001005,36.79
2014/06/03 10:00:00,001005,41.26
2014/06/03 11:00:00,001005,39.77
2014/06/03 12:00:00,001005,36.79
2014/06/04 17:00:00,001004,39.47
2014/06/04 05:00:00,001004,78.49
2014/06/04 06:00:00,001004,78.19
2014/06/04 07:00:00,001004,72.23
2014/06/04 08:00:00,001004,76.70
2014/06/04 09:00:00,001004,76.70
2014/06/04 16:00:00,001004,39.47
2014/06/07 15:00:00,001003,11.38
2014/06/08 15:00:00,001004,44.30
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001005,57.64
2014/06/03 01:00:00,001005,50.19
2014/06/03 03:00:00,001005,42.74
2014/06/03 06:00:00,001005,35.30
2014/06/03 04:00:00,001005,45.72
2014/06/03 05:00:00,001005,44.23
2014/06/03 08:00:00,001005,33.81
2014/06/03 09:00:00,001005,36.79
2014/06/03 07:00:00,001005,36.79
2014/06/03 10:00:00,001005,41.26
2014/06/03 11:00:00,001005,39.77
2014/06/03 12:00:00,001005,36.79
2014/06/04 17:00:00,001004,39.47
2014/06/04 05:00:00,001004,78.49
2014/06/04 06:00:00,001004,78.19
2014/06/04 07:00:00,001004,72.23
2014/06/04 08:00:00,001004,76.70
2014/06/04 09:00:00,001004,76.70
2014/06/04 16:00:00,001004,39.47
2014/06/07 15:00:00,001003,11.38
2014/06/08 15:00:00,001004,44.30
2014/06/09 14:00:00,001005,54.51
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001005,57.64
2014/06/03 01:00:00,001005,50.19
2014/06/03 03:00:00,001005,42.74
2014/06/03 06:00:00,001005,35.30
2014/06/03 04:00:00,001005,45.72
2014/06/03 05:00:00,001005,44.23
2014/06/03 08:00:00,001005,33.81
2014/06/03 09:00:00,001005,36.79
2014/06/03 07:00:00,001005,36.79
2014/06/03 10:00:00,001005,41.26
2014/06/03 11:00:00,001005,39.77
2014/06/03 12:00:00,001005,36.79
2014/06/04 17:00:00,001004,39.47
2014/06/04 05:00:00,001004,78.49
2014/06/04 06:00:00,001004,78.19
2014/06/04 07:00:00,001004,72.23
2014/06/04 08:00:00,001004,76.70
2014/06/04 09:00:00,001004,76.70
2014/06/04 16:00:00,001004,39.47
2014/06/07 15:00:00,001003,11.38
2014/06/08 15:00:00,001004,44.30
2014/06/09 14:00:00,001005,54.51
2014/06/11 09:00:00,001004,97.09
2014/06/03 00:00:00,001004,46.91
2014/06/03 01:00:00,001004,35.00
2014/06/03 03:00:00,001004,38.28
2014/06/03 06:00:00,001004,33.81
2014/06/03 04:00:00,001004,39.77
2014/06/03 05:00:00,001004,36.79
2014/06/03 07:00:00,001004,36.79
2014/06/03 08:00:00,001004,33.81
2014/06/03 09:00:00,001004,41.26
2014/06/03 10:00:00,001004,42.74
2014/06/03 12:00:00,001004,32.32
2014/06/03 11:00:00,001004,35.30
2014/06/03 00:00:00,001005,57.64
2014/06/03 01:00:00,001005,50.19
2014/06/03 03:00:00,001005,42.74
2014/06/03 06:00:00,001005,35.30
2014/06/03 04:00:00,001005,45.72
2014/06/03 05:00:00,001005,44.23
2014/06/03 08:00:00,001005,33.81
2014/06/03 09:00:00,001005,36.79
2014/06/03 07:00:00,001005,36.79
2014/06/03 10:00:00,001005,41.26
2014/06/03 11:00:00,001005,39.77
2014/06/03 12:00:00,001005,36.79
2014/06/04 17:00:00,001004,39.47
2014/06/04 05:00:00,001004,78.49
2014/06/04 06:00:00,001004,78.19
